2025-12-08 18:59:57 | src.data_processing.table_processor | ERROR    | Error processing table 24 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:58 | src.data_processing.table_processor | ERROR    | Error processing table 25 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:58 | src.data_processing.table_processor | ERROR    | Error processing table 26 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:59 | src.data_processing.table_processor | ERROR    | Error processing table 27 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 18:59:59 | src.data_processing.table_processor | ERROR    | Error processing table 28 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:00 | src.data_processing.table_processor | ERROR    | Error processing table 29 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:00 | src.data_processing.table_processor | ERROR    | Error processing table 30 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:01 | src.data_processing.table_processor | ERROR    | Error processing table 31 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:01 | src.data_processing.table_processor | ERROR    | Error processing table 32 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:01 | src.data_processing.table_processor | ERROR    | Error processing table 33 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:01 | src.data_processing.table_processor | ERROR    | Error processing table 34 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:02 | src.data_processing.table_processor | ERROR    | Error processing table 35 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:02 | src.data_processing.table_processor | ERROR    | Error processing table 36 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:02 | src.data_processing.table_processor | ERROR    | Error processing table 37 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:03 | src.data_processing.table_processor | ERROR    | Error processing table 38 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:03 | src.data_processing.table_processor | ERROR    | Error processing table 39 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:03 | src.data_processing.table_processor | ERROR    | Error processing table 40 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:04 | src.data_processing.table_processor | ERROR    | Error processing table 41 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:04 | src.data_processing.table_processor | ERROR    | Error processing table 42 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:04 | src.data_processing.table_processor | ERROR    | Error processing table 43 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:05 | src.data_processing.table_processor | ERROR    | Error processing table 44 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:05 | src.data_processing.table_processor | ERROR    | Error processing table 45 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:05 | src.data_processing.table_processor | ERROR    | Error processing table 46 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:05 | src.data_processing.table_processor | ERROR    | Error processing table 47 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:06 | src.data_processing.table_processor | ERROR    | Error processing table 48 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:06 | src.data_processing.table_processor | ERROR    | Error processing table 49 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:06 | src.data_processing.table_processor | ERROR    | Error processing table 50 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:07 | src.data_processing.table_processor | ERROR    | Error processing table 51 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:07 | src.data_processing.table_processor | ERROR    | Error processing table 52 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:07 | src.data_processing.table_processor | ERROR    | Error processing table 53 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:07 | src.data_processing.table_processor | ERROR    | Error processing table 54 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:08 | src.data_processing.table_processor | ERROR    | Error processing table 55 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:08 | src.data_processing.table_processor | ERROR    | Error processing table 56 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:59 | src.data_processing.table_processor | ERROR    | Error processing table 57 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:59 | src.data_processing.table_processor | ERROR    | Error processing table 58 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:59 | src.data_processing.table_processor | ERROR    | Error processing table 59 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:00:59 | src.data_processing.table_processor | ERROR    | Error processing table 60 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:00 | src.data_processing.table_processor | ERROR    | Error processing table 61 in 1C: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:02 | src.data_processing.table_processor | ERROR    | Error processing table 5 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:02 | src.data_processing.table_processor | ERROR    | Error processing table 7 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:03 | src.data_processing.table_processor | ERROR    | Error processing table 9 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:03 | src.data_processing.table_processor | ERROR    | Error processing table 11 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:04 | src.data_processing.table_processor | ERROR    | Error processing table 12 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:04 | src.data_processing.table_processor | ERROR    | Error processing table 13 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:04 | src.data_processing.table_processor | ERROR    | Error processing table 14 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:04 | src.data_processing.table_processor | ERROR    | Error processing table 15 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:05 | src.data_processing.table_processor | ERROR    | Error processing table 16 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:05 | src.data_processing.table_processor | ERROR    | Error processing table 17 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:05 | src.data_processing.table_processor | ERROR    | Error processing table 18 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:06 | src.data_processing.table_processor | ERROR    | Error processing table 19 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:06 | src.data_processing.table_processor | ERROR    | Error processing table 20 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:06 | src.data_processing.table_processor | ERROR    | Error processing table 21 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:07 | src.data_processing.table_processor | ERROR    | Error processing table 22 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:07 | src.data_processing.table_processor | ERROR    | Error processing table 23 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:08 | src.data_processing.table_processor | ERROR    | Error processing table 24 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:08 | src.data_processing.table_processor | ERROR    | Error processing table 25 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:09 | src.data_processing.table_processor | ERROR    | Error processing table 26 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:09 | src.data_processing.table_processor | ERROR    | Error processing table 27 in 2: DataFrame columns must be unique for orient='records'.
2025-12-08 19:01:09 | src.data_processing.table_processor | ERROR    | Error processing table 28 in 2: DataFrame columns must be unique for orient='records'.
